"title","company","location","job_type","is_remote","date_posted","min_amount","max_amount","currency","interval","job_url","description","skills","client_rating","client_spend","proposals","payment_verified","site"
"Professional Marketing needed for Marketing project","Client in United States","Remote","Contract",True,"2025-05-15",1085,1873,"USD","fixed","https://www.upwork.com/jobs/professional-marketing-needed-for-marketing-0","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Java, Node.js, Django, PHP and Flask. This is a remote position with flexible hours. The project is expected to last 1 month.","['Java', 'Node.js', 'Django', 'PHP', 'Flask']",4.0,"$100k+","15-20",True,"upwork"
"Top-rated Marketing needed for Marketing project","Client in Germany","Remote","Contract",True,"2025-05-15",331,561,"USD","fixed","https://www.upwork.com/jobs/top-rated-marketing-needed-for-marketing-1","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Python, Flask, React, JavaScript and .NET. This is a remote position with flexible hours. The project is expected to last 1-2 weeks.","['Python', 'Flask', 'React', 'JavaScript', '.NET']",4.0,"$10k+","20-50",True,"upwork"
"Professional Marketing needed for Marketing project","Client in United Kingdom","Remote","Contract",True,"2025-05-19",1629,2425,"USD","fixed","https://www.upwork.com/jobs/professional-marketing-needed-for-marketing-2","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Java, Flask, WordPress, React and C#. This is a remote position with flexible hours. The project is expected to last 2-3 months.","['Java', 'Flask', 'WordPress', 'React', 'C#']",4.0,"$100k+","10-15",True,"upwork"
"Experienced Marketing needed for Marketing project","Client in United States","Remote","Contract",True,"2025-05-21",654,1368,"USD","fixed","https://www.upwork.com/jobs/experienced-marketing-needed-for-marketing-3","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Flask, React, PHP, Node.js and C#. This is a remote position with flexible hours. The project is expected to last 1-2 weeks.","['Flask', 'React', 'PHP', 'Node.js', 'C#']",4.0,"$1k+","5-10",True,"upwork"
"Experienced Marketing needed for Marketing project","Client in Germany","Remote","Contract",True,"2025-05-16",762,1390,"USD","fixed","https://www.upwork.com/jobs/experienced-marketing-needed-for-marketing-4","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with WordPress, PHP, Node.js, Python and Laravel. This is a remote position with flexible hours. The project is expected to last 6 months+.","['WordPress', 'PHP', 'Node.js', 'Python', 'Laravel']",4.0,"$10k+","10-15",True,"upwork"
"Skilled Marketing needed for Marketing project","Client in India","Remote","Contract",True,"2025-05-21",277,1141,"USD","fixed","https://www.upwork.com/jobs/skilled-marketing-needed-for-marketing-5","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Java, JavaScript, Python, Flask and Django. This is a remote position with flexible hours. The project is expected to last 1-2 weeks.","['Java', 'JavaScript', 'Python', 'Flask', 'Django']",4.0,"$1k+","5-10",True,"upwork"
"Professional Marketing needed for Marketing project","Client in Canada","Remote","Contract",True,"2025-05-17",1083,1337,"USD","fixed","https://www.upwork.com/jobs/professional-marketing-needed-for-marketing-6","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with PHP, Python, WordPress, Laravel and JavaScript. This is a remote position with flexible hours. The project is expected to last 2-3 months.","['PHP', 'Python', 'WordPress', 'Laravel', 'JavaScript']",4.0,"$100k+","15-20",True,"upwork"
"Professional Marketing needed for Marketing project","Client in United States","Remote","Contract",True,"2025-05-16",1581,2305,"USD","fixed","https://www.upwork.com/jobs/professional-marketing-needed-for-marketing-7","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with WordPress, .NET, JavaScript, Django and Python. This is a remote position with flexible hours. The project is expected to last 2-3 months.","['WordPress', '.NET', 'JavaScript', 'Django', 'Python']",4.0,"$1k+","15-20",True,"upwork"
"Expert Marketing needed for Marketing project","Client in Germany","Remote","Contract",True,"2025-05-18",1176,1389,"USD","fixed","https://www.upwork.com/jobs/expert-marketing-needed-for-marketing-8","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with React, C#, .NET, WordPress and Python. This is a remote position with flexible hours. The project is expected to last 6 months+.","['React', 'C#', '.NET', 'WordPress', 'Python']",4.0,"$1k+","20-50",True,"upwork"
"Top-rated Marketing needed for Marketing project","Client in United Kingdom","Remote","Contract",True,"2025-05-19",1750,2332,"USD","fixed","https://www.upwork.com/jobs/top-rated-marketing-needed-for-marketing-9","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Python, C#, Java, JavaScript and React. This is a remote position with flexible hours. The project is expected to last 6 months+.","['Python', 'C#', 'Java', 'JavaScript', 'React']",4.0,"$10k+","5-10",True,"upwork"
"Experienced Marketing needed for Marketing project","Client in United States","Remote","Contract",True,"2025-05-18",1975,2398,"USD","fixed","https://www.upwork.com/jobs/experienced-marketing-needed-for-marketing-10","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with JavaScript, Flask, Laravel, Node.js and React. This is a remote position with flexible hours. The project is expected to last 1 month.","['JavaScript', 'Flask', 'Laravel', 'Node.js', 'React']",4.0,"$10k+","5-10",True,"upwork"
"Top-rated Marketing needed for Marketing project","Client in Australia","Remote","Contract",True,"2025-05-19",1759,2022,"USD","fixed","https://www.upwork.com/jobs/top-rated-marketing-needed-for-marketing-11","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with JavaScript, React, Laravel, .NET and C#. This is a remote position with flexible hours. The project is expected to last 1-2 weeks.","['JavaScript', 'React', 'Laravel', '.NET', 'C#']",4.0,"$100k+","15-20",True,"upwork"
"Skilled Marketing needed for Marketing project","Client in Canada","Remote","Contract",True,"2025-05-17",337,495,"USD","fixed","https://www.upwork.com/jobs/skilled-marketing-needed-for-marketing-12","We are looking for a skilled professional in Marketing. The ideal candidate will have experience with Python, Django, PHP, React and C#. This is a remote position with flexible hours. The project is expected to last 2-3 months.","['Python', 'Django', 'PHP', 'React', 'C#']",4.0,"$1k+","Less than 5",True,"upwork"
